lat_deg,lon_deg,alt_km,x_ecef_m,y_ecef_m,z_ecef_m,ax_m_s2,ay_m_s2,az_m_s2,g_total_m_s2,g_point_mass_m_s2,delta_g_m_s2,delta_g_mGal
-70.000000,0,400,2318259.148807,0.000000,-6369364.663791,-2.967557,0.000006,8.142898,8.666787,8.675953,-0.009166,-916.619743
-65.000000,0,400,2864564.180948,0.000000,-6143077.710286,-3.667023,0.000007,7.853911,8.667813,8.675953,-0.008140,-813.984913
-60.000000,0,400,3389068.150000,0.000000,-5870038.226113,-4.338666,0.000006,7.505178,8.669009,8.675953,-0.006944,-694.393491
-55.000000,0,400,3887779.264056,0.000000,-5552324.206614,-4.977369,0.000005,7.099336,8.670339,8.675953,-0.005614,-561.368065
-50.000000,0,400,4356902.030407,0.000000,-5192353.647318,-5.578266,0.000005,6.639436,8.671745,8.675953,-0.004208,-420.761768
-45.000000,0,400,4792866.141537,0.000000,-4792866.141537,-6.136787,0.000005,6.128954,8.673190,8.675953,-0.002763,-276.252423
-40.000000,0,400,5192353.647318,0.000000,-4356902.030407,-6.648667,0.000006,5.571764,8.674637,8.675953,-0.001316,-131.575190
-35.000000,0,400,5552324.206614,0.000000,-3887779.264056,-7.109995,0.000009,4.972097,8.676046,8.675953,0.000094,9.358887
-30.000000,0,400,5870038.226113,0.000000,-3389068.150000,-7.517234,0.000011,4.334516,8.677375,8.675953,0.001422,142.205390
-25.000000,0,400,6143077.710286,0.000000,-2864564.180948,-7.867257,0.000011,3.663862,8.678572,8.675953,0.002619,261.895092
-20.000000,0,400,6369364.663791,0.000000,-2318259.148807,-8.157380,0.000008,2.965236,8.679601,8.675953,0.003648,364.849715
-15.000000,0,400,6547176.906277,0.000000,-1754310.764741,-8.385380,0.000003,2.243965,8.680436,8.675953,0.004483,448.320272
-10.000000,0,400,6675161.179213,0.000000,-1177011.016473,-8.549503,-0.000004,1.505552,8.681053,8.675953,0.005100,510.038258
-5.000000,0,400,6752343.445003,0.000000,-590753.503671,-8.648490,-0.000008,0.755644,8.681439,8.675953,0.005486,548.612798
0.000000,0,400,6778136.300000,0.000000,0.000000,-8.681570,-0.000009,-0.000031,8.681570,8.675953,0.005617,561.742453
5.000000,0,400,6752343.445003,0.000000,590753.503671,-8.648495,-0.000012,-0.755713,8.681449,8.675953,0.005497,549.662215
10.000000,0,400,6675161.179213,0.000000,1177011.016473,-8.549515,-0.000012,-1.505612,8.681075,8.675953,0.005123,512.268435
15.000000,0,400,6547176.906277,0.000000,1754310.764741,-8.385387,-0.000012,-2.244017,8.680456,8.675953,0.004504,450.355467
20.000000,0,400,6369364.663791,0.000000,2318259.148807,-8.157385,-0.000008,-2.965284,8.679622,8.675953,0.003669,366.895749
25.000000,0,400,6143077.710286,0.000000,2864564.180948,-7.867250,-0.000009,-3.663910,8.678586,8.675953,0.002634,263.360249
30.000000,0,400,5870038.226113,0.000000,3389068.150000,-7.517222,-0.000016,-4.334587,8.677400,8.675953,0.001448,144.762417
35.000000,0,400,5552324.206614,0.000000,3887779.264056,-7.109997,-0.000015,-4.972178,8.676094,8.675953,0.000141,14.137765
40.000000,0,400,5192353.647318,0.000000,4356902.030407,-6.648679,-0.000012,-5.571834,8.674691,8.675953,-0.001262,-126.187361
