time_h,altitude_km,sma_km,ecc,period_min
145,333.375,6711.51,0.000528792,91.199
146,343.165,6721.3,0.000930071,91.3987
147,337.008,6715.14,0.000356825,91.2731
148,332.025,6710.16,0.000591023,91.1715
149,342.047,6720.18,0.00080045,91.3759
150,338.86,6717,0.000371829,91.3109
151,331.265,6709.4,0.000606956,91.156
152,340.413,6718.55,0.000611117,91.3425
153,340.536,6718.67,0.000483113,91.345
154,331.158,6709.29,0.000562936,91.1539
155,338.433,6716.57,0.000387577,91.3022
156,341.84,6719.98,0.00061123,91.3716
157,331.696,6709.83,0.000460444,91.1648
158,336.307,6714.44,0.000191217,91.2588
159,342.616,6720.75,0.000708119,91.3875
160,332.801,6710.94,0.000320507,91.1873
161,334.252,6712.39,0.000231745,91.2169
162,342.771,6720.91,0.000752498,91.3906
163,334.337,6712.47,0.000222746,91.2186
164,332.472,6710.61,0.00041653,91.1806
165,342.275,6720.41,0.000738411,91.3805
166,336.12,6714.26,0.000313522,91.255
167,331.142,6709.28,0.000576801,91.1535
168,341.172,6719.31,0.000672041,91.358
169,337.945,6716.08,0.000507808,91.2922
170,330.383,6708.52,0.000678172,91.1381
171,339.569,6717.71,0.000571986,91.3253
172,339.601,6717.74,0.000702584,91.326
173,330.258,6708.39,0.000709926,91.1355
174,337.623,6715.76,0.000472042,91.2856
175,340.899,6719.04,0.000858731,91.3524
176,330.759,6708.9,0.000672792,91.1457
177,335.527,6713.66,0.000420036,91.2429
178,341.69,6719.83,0.000954923,91.3686
179,331.815,6709.95,0.000578424,91.1673
180,333.488,6711.62,0.000443737,91.2013
181,341.88,6720.02,0.000979272,91.3725
182,333.298,6711.43,0.000452925,91.1975
183,331.702,6709.84,0.000511554,91.1649
184,341.438,6719.58,0.000928344,91.3634
185,335.034,6713.17,0.000349743,91.2329
186,330.338,6708.47,0.000572883,91.1371
187,340.4,6718.54,0.000806971,91.3423
188,336.829,6714.97,0.000350633,91.2695
189,329.518,6707.66,0.000594981,91.1204
190,338.862,6717,0.000628064,91.3109
191,338.483,6716.62,0.000456838,91.3032
192,329.31,6707.45,0.000563062,91.1162
193,336.973,6715.11,0.000413765,91.2724
194,339.811,6717.95,0.000588981,91.3303
195,329.714,6707.85,0.000476466,91.1244
196,334.913,6713.05,0.000212346,91.2304
197,340.667,6718.8,0.000696332,91.3477
198,330.67,6708.81,0.00035096,91.1439
199,332.878,6711.02,0.000206021,91.1889
200,340.952,6719.09,0.00075608,91.3535
201,332.065,6710.2,0.000242893,91.1723
202,331.06,6709.2,0.000381018,91.1519
203,340.626,6718.76,0.000760138,91.3469
204,333.738,6711.88,0.000283102,91.2064
205,329.624,6707.76,0.000547869,91.1226
206,339.713,6717.85,0.000711207,91.3283
207,335.506,6713.64,0.000452076,91.2425
208,328.696,6706.83,0.000663951,91.1037
209,338.292,6716.43,0.000622289,91.2993
210,337.178,6715.31,0.000641601,91.2766
211,328.35,6706.49,0.000715815,91.0966
212,336.496,6714.63,0.000518212,91.2627
213,338.572,6716.71,0.000805398,91.305
214,328.602,6706.74,0.000700869,91.1018
215,334.489,6712.63,0.000437773,91.2218
216,339.539,6717.68,0.000919894,91.3247
217,329.407,6707.54,0.000625755,91.1182
218,332.458,6710.59,0.000421155,91.1804
219,339.971,6718.11,0.000971131,91.3335
220,330.668,6708.8,0.000507797,91.1439
221,330.586,6708.72,0.000467124,91.1422
222,339.817,6717.95,0.00095279,91.3304
223,332.244,6710.38,0.000382256,91.176
224,329.04,6707.18,0.000531984,91.1107
225,339.081,6717.22,0.000865912,91.3154
226,333.967,6712.1,0.000319692,91.2111
227,327.952,6706.09,0.0005757,91.0885
228,337.824,6715.96,0.000718717,91.2897
229,335.654,6713.79,0.00038065,91.2455
230,327.41,6705.55,0.000576178,91.0775
231,336.159,6714.3,0.000526725,91.2558
232,337.129,6715.27,0.000509884,91.2756
233,327.448,6705.58,0.000525705,91.0783
234,334.233,6712.37,0.000316874,91.2165
235,338.239,6716.38,0.000637845,91.2982
236,328.042,6706.18,0.000429334,91.0904
237,332.219,6710.36,0.000172527,91.1755
238,338.867,6717,0.000731075,91.311
239,329.118,6707.25,0.000311435,91.1123
240,330.293,6708.43,0.000269718,91.1362
241,338.942,6717.08,0.000774889,91.3125
242,330.557,6708.69,0.000247434,91.1416
243,328.621,6706.76,0.000446365,91.1022
244,338.447,6716.58,0.000765418,91.3024
245,332.207,6710.34,0.000333073,91.1752
246,327.345,6705.48,0.000595134,91.0762
247,337.42,6715.56,0.000707609,91.2815
248,333.898,6712.04,0.00050249,91.2097
249,326.564,6704.7,0.000691243,91.0603
250,335.946,6714.08,0.000615207,91.2514
251,335.459,6713.6,0.000678064,91.2415
252,326.334,6704.47,0.000725554,91.0556
253,334.151,6712.29,0.000512243,91.2149
254,336.732,6714.87,0.000825162,91.2675
255,326.656,6704.79,0.000697449,91.0621
256,332.189,6710.33,0.000434564,91.1749
257,337.587,6715.72,0.000924371,91.2849
258,327.483,6705.62,0.000614239,91.079
259,330.227,6708.36,0.00041756,91.1349
260,337.937,6716.07,0.000964152,91.2921
261,328.722,6706.86,0.000492765,91.1042
262,328.429,6706.57,0.000459019,91.0983
263,337.74,6715.88,0.000939587,91.288
264,330.242,6708.38,0.000366886,91.1352
265,326.943,6705.08,0.000519355,91.068
266,337.003,6715.14,0.000852145,91.273
267,331.892,6710.03,0.000305884,91.1688
268,325.886,6704.02,0.000561898,91.0464
269,335.785,6713.92,0.000709523,91.2482
270,333.509,6711.65,0.000368935,91.2018
271,325.335,6703.47,0.000566045,91.0352
272,334.184,6712.32,0.000525829,91.2155
273,334.935,6713.07,0.000499459,91.2308
274,325.321,6703.46,0.000524259,91.0349
275,332.333,6710.47,0.000325351,91.1778
276,336.031,6714.17,0.000630161,91.2532
277,325.827,6703.96,0.000440391,91.0452
278,330.383,6708.52,0.000179228,91.1381
279,336.69,6714.83,0.00072947,91.2666
280,326.79,6704.93,0.00033419,91.0649
281,328.493,6706.63,0.000253954,91.0996
282,336.844,6714.98,0.000783148,91.2698
283,328.109,6706.25,0.000262638,91.0917
284,326.814,6704.95,0.000423659,91.0653
285,336.47,6714.61,0.000786461,91.2621
286,329.653,6707.79,0.000313744,91.1232
287,325.475,6703.61,0.000574555,91.0381
288,335.591,6713.73,0.000742158,91.2442
289,331.273,6709.41,0.00045983,91.1562
290,324.574,6702.71,0.000679708,91.0197
291,334.274,6712.41,0.000660161,91.2174
292,332.816,6710.95,0.000626274,91.1876
293,324.173,6702.31,0.000728741,91.0115
294,332.622,6710.76,0.000558314,91.1837
