jd,latitude_deg,longitude_deg
2460482.58888889,31.2104,-150.7192
2460482.58958333,28.4742,-147.7601
2460482.59027778,25.6647,-144.9636
2460482.59097222,22.7931,-142.3075
2460482.59166667,19.8694,-139.7711
2460482.59236111,16.9024,-137.3353
2460482.59305556,13.9001,-134.9823
2460482.59375000,10.8697,-132.6955
2460482.59444444,7.8181,-130.4593
2460482.59513889,4.7514,-128.2588
2460482.59583333,1.6758,-126.0798
2460482.59652778,-1.4030,-123.9084
2460482.59722222,-4.4792,-121.7306
2460482.59791667,-7.5469,-119.5327
2460482.59861111,-10.6001,-117.3002
2460482.59930556,-13.6326,-115.0185
2460482.60000000,-16.6377,-112.6719
2460482.60069444,-19.6082,-110.2441
2460482.60138889,-22.5361,-107.7174
2460482.60208333,-25.4127,-105.0727
2460482.60277778,-28.2282,-102.2895
2460482.60347222,-30.9714,-99.3457
2460482.60416667,-33.6296,-96.2177
2460482.60486111,-36.1884,-92.8807
2460482.60555556,-38.6314,-89.3092
2460482.60625000,-40.9398,-85.4781
2460482.60694444,-43.0926,-81.3640
2460482.60763889,-45.0665,-76.9482
2460482.60833333,-46.8360,-72.2190
2460482.60902778,-48.3746,-67.1762
2460482.60972222,-49.6552,-61.8345
2460482.61041667,-50.6524,-56.2271
2460482.61111111,-51.3440,-50.4073
2460482.61180556,-51.7132,-44.4468
2460482.61250000,-51.7508,-38.4313
2460482.61319444,-51.4559,-32.4517
2460482.61388889,-50.8362,-26.5956
2460482.61458333,-49.9070,-20.9381
2460482.61527778,-48.6895,-15.5369
2460482.61597222,-47.2088,-10.4292
2460482.61666667,-45.4918,-5.6337
2460482.61736111,-43.5653,-1.1527
2460482.61805556,-41.4550,3.0230
2460482.61875000,-39.1848,6.9112
2460482.61944444,-36.7762,10.5343
2460482.62013889,-34.2484,13.9172
2460482.62083333,-31.6183,17.0855
2460482.62152778,-28.9006,20.0641
2460482.62222222,-26.1085,22.8769
2460482.62291667,-23.2532,25.5463
2460482.62361111,-20.3449,28.0932
2460482.62430556,-17.3925,30.5368
2460482.62500000,-14.4039,32.8950
2460482.62569444,-11.3865,35.1846
2460482.62638889,-8.3470,37.4211
2460482.62708333,-5.2916,39.6195
2460482.62777778,-2.2263,41.7940
2460482.62847222,0.8431,43.9586
2460482.62916667,3.9109,46.1269
2460482.62986111,6.9715,48.3127
2460482.63055556,10.0189,50.5303
2460482.63125000,13.0471,52.7940
2460482.63194444,16.0495,55.1193
2460482.63263889,19.0191,57.5223
2460482.63333333,21.9483,60.0203
2460482.63402778,24.8287,62.6319
2460482.63472222,27.6505,65.3774
2460482.63541667,30.4032,68.2783
2460482.63611111,33.0744,71.3580
2460482.63680556,35.6503,74.6409
2460482.63750000,38.1148,78.1525
2460482.63819444,40.4499,81.9181
2460482.63888889,42.6350,85.9616
2460482.63958333,44.6475,90.3031
2460482.64027778,46.4622,94.9561
2460482.64097222,48.0528,99.9242
2460482.64166667,49.3922,105.1964
2460482.64236111,50.4543,110.7441
2460482.64305556,51.2159,116.5188
