time_h,case_name,x_km,y_km,z_km,vx_kmps,vy_kmps,vz_kmps,r_km,altitude_km,sma_km,ecc,inc_deg
1.16667,Full (J2 + Drag + SRP + 3rd-body),327.295,-4201.45,-5299.08,7.66165,0.206352,0.301981,6770.49,392.353,6766.05,0.00101759,51.6
1.33333,Full (J2 + Drag + SRP + 3rd-body),4506.63,-3155.31,-3953.26,5.73008,3.1459,4.01005,6774.51,396.368,6771.36,0.000971041,51.6178
1.5,Full (J2 + Drag + SRP + 3rd-body),6686.29,-709.425,-848.852,1.25308,4.69148,5.93625,6777.19,399.056,6777.69,0.000227561,51.639
1.66667,Full (J2 + Drag + SRP + 3rd-body),5896.89,2051.39,2633.41,-3.78198,4.1546,5.22016,6776.17,398.029,6775.05,0.000643698,51.6301
1.83333,Full (J2 + Drag + SRP + 3rd-body),2489.85,3901.86,4943.81,-7.13443,1.77522,2.18262,6772.38,394.239,6767.61,0.00114025,51.6052
2,Full (J2 + Drag + SRP + 3rd-body),-2021.53,4021.75,5055.41,-7.32121,-1.39176,-1.82597,6768.91,390.777,6767.11,0.000606315,51.6036
2.16667,Full (J2 + Drag + SRP + 3rd-body),-5634.31,2355.79,2915.93,-4.25215,-3.94731,-5.02976,6767.41,389.277,6774.38,0.00103873,51.6279
2.33333,Full (J2 + Drag + SRP + 3rd-body),-6737.2,-358.891,-525.201,0.720128,-4.74961,-5.99316,6767.17,389.029,6777.9,0.00158335,51.6396
2.5,Full (J2 + Drag + SRP + 3rd-body),-4835.91,-2913.66,-3731.64,5.3691,-3.43551,-4.27866,6767.62,389.479,6772.07,0.000695375,51.6202
2.66667,Full (J2 + Drag + SRP + 3rd-body),-781.821,-4172.28,-5273.44,7.61921,-0.598665,-0.662632,6769.67,391.529,6766.16,0.000854881,51.6003
2.83333,Full (J2 + Drag + SRP + 3rd-body),3619.91,-3579.22,-4468.34,6.48527,2.49878,3.24182,6773.52,395.384,6769.51,0.00107928,51.6116
3,Full (J2 + Drag + SRP + 3rd-body),6415.71,-1398.55,-1675.76,2.47224,4.48898,5.70569,6776.83,398.696,6776.79,0.000418553,51.636
3.16667,Full (J2 + Drag + SRP + 3rd-body),6387.54,1360.35,1809.29,-2.56401,4.50402,5.65301,6776.78,398.646,6776.59,0.000438644,51.6353
3.33333,Full (J2 + Drag + SRP + 3rd-body),3547.15,3557.87,4542.98,-6.53639,2.53778,3.10584,6773.43,395.294,6769.22,0.00109324,51.6106
3.5,Full (J2 + Drag + SRP + 3rd-body),-806.74,4181.54,5262.35,-7.61571,-0.510865,-0.768189,6769.67,391.531,6766.2,0.000843254,51.6005
3.66667,Full (J2 + Drag + SRP + 3rd-body),-4853.34,2969.54,3664.42,-5.34852,-3.37394,-4.35293,6767.64,389.507,6772.27,0.000720255,51.6209
3.83333,Full (J2 + Drag + SRP + 3rd-body),-6739.26,436.453,431.766,-0.691505,-4.74173,-6.00279,6767.16,389.027,6777.93,0.0015881,51.6398
4,Full (J2 + Drag + SRP + 3rd-body),-5620.05,-2291.15,-2993.82,4.27575,-3.99661,-4.97037,6767.37,389.234,6774.18,0.00101415,51.6272
4.16667,Full (J2 + Drag + SRP + 3rd-body),-1997.4,-3998.88,-5083.02,7.32926,-1.47627,-1.72432,6768.88,390.746,6766.98,0.000620308,51.6031
4.33333,Full (J2 + Drag + SRP + 3rd-body),2513.09,-3930.96,-4908.88,7.12352,1.69323,2.28139,6772.39,394.249,6767.74,0.00113495,51.6057
4.5,Full (J2 + Drag + SRP + 3rd-body),5908.87,-2119.49,-2551.41,3.75677,4.11163,5.27224,6776.18,398.043,6775.21,0.000632461,51.6307
4.66667,Full (J2 + Drag + SRP + 3rd-body),6681.56,632.615,941.51,-1.28133,4.70652,5.91826,6777.16,399.026,6777.6,0.000235041,51.6387
4.83333,Full (J2 + Drag + SRP + 3rd-body),4487.32,3103.91,4015.33,-5.74853,3.21229,3.93008,6774.45,396.311,6771.13,0.000982764,51.6171
5,Full (J2 + Drag + SRP + 3rd-body),302.058,4198.33,5303.01,-7.66222,0.294621,0.195668,6770.46,392.327,6766.01,0.00101113,51.5999
5.16667,Full (J2 + Drag + SRP + 3rd-body),-4016.76,3430.11,4231.44,-6.17512,-2.75748,-3.63048,6767.95,389.812,6770.35,0.000478034,51.6145
5.33333,Full (J2 + Drag + SRP + 3rd-body),-6548.37,1136.86,1273.36,-1.93337,-4.59039,-5.84637,6767.2,389.063,6777.31,0.00149203,51.6377
5.5,Full (J2 + Drag + SRP + 3rd-body),-6160.46,-1662.95,-2253.62,3.17557,-4.37901,-5.45126,6767.23,389.097,6775.83,0.00127063,51.6328
5.66667,Full (J2 + Drag + SRP + 3rd-body),-3027.08,-3722.17,-4774.13,6.86122,-2.21959,-2.62465,6768.32,390.179,6768.27,0.000437082,51.6075
5.83333,Full (J2 + Drag + SRP + 3rd-body),1452.33,-4127.69,-5167.65,7.49149,0.91918,1.36255,6771.39,393.257,6766.62,0.00111464,51.6019
6,Full (J2 + Drag + SRP + 3rd-body),5287.69,-2702.27,-3262.56,4.79769,3.64864,4.74163,6775.41,397.272,6773.45,0.000809048,51.6249
6.16667,Full (J2 + Drag + SRP + 3rd-body),6776.18,-77.786,94.1987,-0.0290223,4.76076,6.01285,6777.28,399.148,6777.96,0.00010035,51.64
6.33333,Full (J2 + Drag + SRP + 3rd-body),5255.55,2581.26,3409.03,-4.84254,3.7594,4.60738,6775.33,397.197,6773.03,0.000833459,51.6235
6.5,Full (J2 + Drag + SRP + 3rd-body),1402.54,4095.07,5207.16,-7.50329,1.09161,1.1541,6771.35,393.218,6766.44,0.00111367,51.6013
6.66667,Full (J2 + Drag + SRP + 3rd-body),-3072.36,3792.46,4689.19,-6.83494,-2.06234,-2.815,6768.36,390.225,6768.61,0.000426103,51.6086
6.83333,Full (J2 + Drag + SRP + 3rd-body),-6180.97,1804.77,2081.94,-3.12244,-4.30713,-5.5387,6767.28,389.14,6776.14,0.00131081,51.6338
7,Full (J2 + Drag + SRP + 3rd-body),-6534.76,-986.808,-1455.17,1.9894,-4.63588,-5.79132,6767.16,389.019,6777.08,0.00146522,51.637
7.16667,Full (J2 + Drag + SRP + 3rd-body),-3975.23,-3338.77,-4342.15,6.20857,-2.90008,-3.4579,6767.87,389.738,6769.94,0.000446519,51.6131
7.33333,Full (J2 + Drag + SRP + 3rd-body),207.727,-4207.76,-5299.93,7.66539,0.016474,0.279753,6770.35,392.213,6766.01,0.00100672,51.5999
7.5,Full (J2 + Drag + SRP + 3rd-body),4415.63,-3265.54,-3966.2,5.81787,3.00274,3.99354,6774.38,396.246,6771.28,0.000976572,51.6176
7.66667,Full (J2 + Drag + SRP + 3rd-body),6664.17,-874.619,-868.048,1.38598,4.65854,5.9327,6777.14,398.999,6777.64,0.000244192,51.6389
7.83333,Full (J2 + Drag + SRP + 3rd-body),5953.4,1904.6,2616.52,-3.6629,4.2465,5.23109,6776.19,398.048,6775.05,0.000630274,51.6303
8,Full (J2 + Drag + SRP + 3rd-body),2599.91,3838.63,4936.73,-7.08191,1.95108,2.20318,6772.44,394.304,6767.6,0.00114332,51.6053
8.16667,Full (J2 + Drag + SRP + 3rd-body),-1906.73,4070.16,5061.34,-7.35856,-1.2099,-1.80484,6768.97,390.837,6767.05,0.000619696,51.6035
8.33333,Full (J2 + Drag + SRP + 3rd-body),-5565.77,2494.38,2932.3,-4.36307,-3.84032,-5.01749,6767.43,389.294,6774.31,0.00102678,51.6278
8.5,Full (J2 + Drag + SRP + 3rd-body),-6745.48,-191.84,-505.68,0.584992,-4.76545,-5.99534,6767.13,388.988,6777.87,0.00158544,51.6397
8.66667,Full (J2 + Drag + SRP + 3rd-body),-4917.26,-2792.62,-3717.68,5.27016,-3.56702,-4.29425,6767.52,389.38,6772.07,0.00070687,51.6203
8.83333,Full (J2 + Drag + SRP + 3rd-body),-899.932,-4151.07,-5271.17,7.60027,-0.786958,-0.684494,6769.53,391.392,6766.13,0.000841636,51.6004
9,Full (J2 + Drag + SRP + 3rd-body),3517.47,-3667.15,-4478.64,6.5544,2.33732,3.2234,6773.39,395.253,6769.43,0.00108059,51.6114
9.16667,Full (J2 + Drag + SRP + 3rd-body),6374.33,-1556.55,-1693.95,2.59874,4.42594,5.69878,6776.76,398.62,6776.73,0.000434598,51.6359
9.33333,Full (J2 + Drag + SRP + 3rd-body),6400.88,1245.02,1844.73,-2.51361,4.55062,5.63828,6776.75,398.617,6776.5,0.00043559,51.6351
9.5,Full (J2 + Drag + SRP + 3rd-body),3585.52,3494.01,4562.37,-6.50658,2.65608,3.06918,6773.42,395.287,6769.11,0.00109718,51.6103
9.66667,Full (J2 + Drag + SRP + 3rd-body),-820.38,4193.31,5250.83,-7.6113,-0.415632,-0.863784,6769.65,391.508,6766.22,0.000832416,51.6007
9.83333,Full (J2 + Drag + SRP + 3rd-body),-4861.47,3031.49,3602.39,-5.33524,-3.30841,-4.41918,6767.64,389.507,6772.43,0.000742523,51.6215
10,Full (J2 + Drag + SRP + 3rd-body),-6738.14,520.928,346.808,-0.675158,-4.7351,-6.00992,6767.14,388.998,6777.92,0.0015915,51.6398
10.1667,Full (J2 + Drag + SRP + 3rd-body),-5610.11,-2221.84,-3063.74,4.2876,-4.05181,-4.91509,6767.31,389.168,6773.96,0.000991703,51.6266
10.3333,Full (J2 + Drag + SRP + 3rd-body),-1983.14,-3975.64,-5106.71,7.3313,-1.56865,-1.63152,6768.83,390.69,6766.84,0.000632709,51.6028
10.5,Full (J2 + Drag + SRP + 3rd-body),2525.31,-3964.14,-4875.8,7.11494,1.60489,2.37052,6772.37,394.233,6767.84,0.00112976,51.6061
10.6667,Full (J2 + Drag + SRP + 3rd-body),5913.56,-2194.28,-2476.16,3.74118,4.06663,5.31816,6776.17,398.031,6775.34,0.000623458,51.6313
10.8333,Full (J2 + Drag + SRP + 3rd-body),6676.51,549.474,1025.49,-1.29694,4.72475,5.90031,6777.11,398.978,6777.49,0.000240882,51.6385
11,Full (J2 + Drag + SRP + 3rd-body),4474.75,3049.35,4070.66,-5.75696,3.28565,3.8563,6774.38,396.246,6770.9,0.000993092,51.6164
11.1667,Full (J2 + Drag + SRP + 3rd-body),287.626,4196.6,5305.14,-7.6598,0.390526,0.0989395,6770.43,392.293,6765.97,0.00100492,51.5999
11.3333,Full (J2 + Drag + SRP + 3rd-body),-4026.63,3481.95,4179.39,-6.1629,-2.68178,-3.70734,6767.95,389.811,6770.5,0.000493475,51.6151
11.5,Full (J2 + Drag + SRP + 3rd-body),-6549.18,1219.11,1190.26,-1.91658,-4.56865,-5.86895,6767.18,389.044,6777.36,0.00150281,51.638
11.6667,Full (J2 + Drag + SRP + 3rd-body),-6151.75,-1586.99,-2330.67,3.18922,-4.42088,-5.40928,6767.17,389.036,6775.64,0.00125173,51.6323
11.8333,Full (J2 + Drag + SRP + 3rd-body),-3012.78,-3686.37,-4810.72,6.8655,-2.30639,-2.53705,6768.25,390.116,6768.08,0.000443335,51.607
12,Full (J2 + Drag + SRP + 3rd-body),1465.82,-4148.01,-5147.51,7.48464,0.826208,1.45678,6771.37,393.232,6766.67,0.00111396,51.6022
12.1667,Full (J2 + Drag + SRP + 3rd-body),5294.35,-2769.62,-3194.55,4.7826,3.59089,4.80074,6775.4,397.265,6773.6,0.000798885,51.6255
12.3333,Full (J2 + Drag + SRP + 3rd-body),6772.92,-162.206,179.892,-0.0457034,4.7638,6.01036,6777.25,399.109,6777.92,0.000100727,51.6399
12.5,Full (J2 + Drag + SRP + 3rd-body),5243.77,2517.27,3474.27,-4.8531,3.82184,4.54436,6775.27,397.131,6772.81,0.000844309,51.6228
12.6667,Full (J2 + Drag + SRP + 3rd-body),1387.54,4079.96,5222.96,-7.50306,1.18575,1.05871,6771.31,393.174,6766.33,0.00111275,51.6011
12.8333,Full (J2 + Drag + SRP + 3rd-body),-3083.9,3832.93,4648.53,-6.82405,-1.97845,-2.90054,6768.36,390.22,6768.73,0.000423034,51.6092
13,Full (J2 + Drag + SRP + 3rd-body),-6183.84,1882.72,2002.85,-3.10552,-4.27091,-5.57623,6767.27,389.13,6776.24,0.00132789,51.6343
13.1667,Full (J2 + Drag + SRP + 3rd-body),-6527.56,-906.152,-1537.4,2.00469,-4.66344,-5.76383,6767.1,388.967,6776.94,0.00145204,51.6366
13.3333,Full (J2 + Drag + SRP + 3rd-body),-3961.19,-3291.39,-4390.78,6.21518,-2.97911,-3.3778,6767.81,389.67,6769.72,0.000433994,51.6125
13.5,Full (J2 + Drag + SRP + 3rd-body),367.447,-4213.49,-5286.8,7.65372,0.0233139,0.505538,6770.43,392.293,6766.04,0.00102836,51.6001
13.6667,Full (J2 + Drag + SRP + 3rd-body),4533.43,-3266.17,-3830.66,5.69514,3.01231,4.15997,6774.5,396.364,6771.69,0.000949059,51.6191
13.8333,Full (J2 + Drag + SRP + 3rd-body),6687.59,-869.736,-670.275,1.20634,4.66658,5.96559,6777.14,399.002,6777.73,0.000214668,51.6393
14,Full (J2 + Drag + SRP + 3rd-body),5871.94,1912.87,2788.51,-3.81922,4.24931,5.11563,6776.03,397.895,6774.62,0.000665334,51.6289
14.1667,Full (J2 + Drag + SRP + 3rd-body),2449.86,3846.68,5006.47,-7.14544,1.94754,1.99103,6772.26,394.12,6767.27,0.00114865,51.6043
14.3333,Full (J2 + Drag + SRP + 3rd-body),-2058.75,4074.43,4997.83,-7.30132,-1.21854,-2.01971,6768.88,390.746,6767.29,0.000578518,51.6044
14.5,Full (J2 + Drag + SRP + 3rd-body),-5652.12,2492.76,2763.59,-4.20975,-3.8505,-5.13955,6767.41,389.268,6774.68,0.00108474,51.6291
14.6667,Full (J2 + Drag + SRP + 3rd-body),-6727.38,-198.791,-704.426,0.76614,-4.7723,-5.96939,6767.08,388.946,6777.73,0.00157135,51.6393
14.8333,Full (J2 + Drag + SRP + 3rd-body),-4802.82,-2801.85,-3857.64,5.39761,-3.56752,-4.13204,6767.48,389.344,6771.59,0.000647744,51.6188
15,Full (J2 + Drag + SRP + 3rd-body),-740.323,-4158.63,-5290.09,7.6177,-0.78108,-0.458902,6769.58,391.448,6766.01,0.000876123,51.6001
15.1667,Full (J2 + Drag + SRP + 3rd-body),3651.34,-3669.77,-4368.18,6.45447,2.34735,3.41241,6773.51,395.376,6769.81,0.00106074,51.6128
15.3333,Full (J2 + Drag + SRP + 3rd-body),6422.93,-1552.94,-1503.12,2.42541,4.43581,5.76721,6776.8,398.662,6776.95,0.000402279,51.6368
15.5,Full (J2 + Drag + SRP + 3rd-body),6342.46,1253.31,2031.05,-2.68305,4.55576,5.55537,6776.63,398.494,6776.16,0.000470106,51.6341
15.6667,Full (J2 + Drag + SRP + 3rd-body),3446.13,3503.35,4661.27,-6.59663,2.65432,2.87209,6773.23,395.096,6768.68,0.00111492,51.609
15.8333,Full (J2 + Drag + SRP + 3rd-body),-978.825,4199.6,5218.41,-7.5823,-0.423704,-1.08758,6769.53,391.392,6766.33,0.000793813,51.6011
16,Full (J2 + Drag + SRP + 3rd-body),-4968.55,3031.78,3452.87,-5.19951,-3.31959,-4.57046,6767.61,389.474,6772.84,0.000803162,51.623
16.1667,Full (J2 + Drag + SRP + 3rd-body),-6745.89,514.869,146.71,-0.492735,-4.74418,-6.02053,6767.1,388.962,6777.93,0.00159794,51.64
16.3333,Full (J2 + Drag + SRP + 3rd-body),-5515,-2231.59,-3225,4.4346,-4.05461,-4.78016,6767.26,389.121,6773.49,0.000930999,51.6252
16.5,Full (J2 + Drag + SRP + 3rd-body),-1827.76,-3984.87,-5157.28,7.3775,-1.56419,-1.4119,6768.86,390.72,6766.59,0.000673868,51.602
16.6667,Full (J2 + Drag + SRP + 3rd-body),2671.85,-3968.88,-4793.31,7.04043,1.6149,2.57731,6772.49,394.351,6768.14,0.00112076,51.6072
16.8333,Full (J2 + Drag + SRP + 3rd-body),5986.15,-2192.34,-2297.2,3.57869,4.07803,5.42042,6776.24,398.106,6775.66,0.000590447,51.6325
17,Full (J2 + Drag + SRP + 3rd-body),6642.72,557.331,1221.36,-1.47516,4.73228,5.85217,6777.03,398.891,6777.27,0.000272313,51.6379
17.1667,Full (J2 + Drag + SRP + 3rd-body),4349.65,3059.67,4196.26,-5.87133,3.28602,3.67938,6774.19,396.056,6770.43,0.00102026,51.6149
17.3333,Full (J2 + Drag + SRP + 3rd-body),126.833,4204.87,5304.7,-7.65987,0.383526,-0.128075,6770.29,392.152,6765.94,0.00097802,51.5999
17.5,Full (J2 + Drag + SRP + 3rd-body),-4151.73,3484.39,4052.97,-6.0483,-2.6935,-3.88394,6767.9,389.765,6770.91,0.000538418,51.6166
17.6667,Full (J2 + Drag + SRP + 3rd-body),-6582.67,1214.4,993.986,-1.73768,-4.57977,-5.91595,6767.15,389.014,6777.5,0.00152919,51.6386
17.8333,Full (J2 + Drag + SRP + 3rd-body),-6078.52,-1596.82,-2509.12,3.35204,-4.4262,-5.30525,6767.12,388.985,6775.23,0.00119974,51.631
18,Full (J2 + Drag + SRP + 3rd-body),-2865.68,-3697.04,-4891.73,6.93945,-2.30379,-2.32906,6768.26,390.121,6767.71,0.00047134,51.6058
18.1667,Full (J2 + Drag + SRP + 3rd-body),1621.27,-4154.94,-5095.18,7.43753,0.83569,1.67609,6771.48,393.338,6766.86,0.00111828,51.603
18.3333,Full (J2 + Drag + SRP + 3rd-body),5389.12,-2769.69,-3032.1,4.6352,3.60343,4.93425,6775.5,397.366,6773.99,0.000766949,51.6269
18.5,Full (J2 + Drag + SRP + 3rd-body),6764.74,-155.258,380.29,-0.22809,4.77369,5.99836,6777.2,399.063,6777.83,0.000109721,51.6398
18.6667,Full (J2 + Drag + SRP + 3rd-body),5136.25,2528.17,3623.41,-4.98895,3.82466,4.39222,6775.09,396.952,6772.32,0.000877447,51.6213
18.8333,Full (J2 + Drag + SRP + 3rd-body),1228.54,4090.05,5254.58,-7.53226,1.1803,0.834281,6771.15,393.01,6766.16,0.00110051,51.6006
19,Full (J2 + Drag + SRP + 3rd-body),-3223.82,3837.68,4548.51,-6.73359,-1.99018,-3.09794,6768.29,390.156,6769.09,0.000417601,51.6105
19.1667,Full (J2 + Drag + SRP + 3rd-body),-6242.27,1879.78,1815.5,-2.93484,-4.28377,-5.65845,6767.24,389.104,6776.51,0.00137164,51.6353
19.3333,Full (J2 + Drag + SRP + 3rd-body),-6478.2,-915.597,-1728.47,2.17914,-4.67138,-5.69351,6767.05,388.917,6776.64,0.00141485,51.6358
19.5,Full (J2 + Drag + SRP + 3rd-body),-3826.2,-3303.19,-4500.24,6.31511,-2.97877,-3.18683,6767.79,389.653,6769.27,0.000410501,51.6111
19.6667,Full (J2 + Drag + SRP + 3rd-body),527.837,-4222.56,-5266.05,7.63531,0.031749,0.731789,6770.52,392.379,6766.1,0.0010471,51.6004
19.8333,Full (J2 + Drag + SRP + 3rd-body),4648.01,-3268.51,-3688.95,5.56667,3.02551,4.32134,6774.62,396.482,6772.11,0.000920804,51.6206
20,Full (J2 + Drag + SRP + 3rd-body),6705.33,-864.166,-470.504,1.02453,4.67866,5.99013,6777.13,398.998,6777.79,0.000186045,51.6397
20.1667,Full (J2 + Drag + SRP + 3rd-body),5784.87,1923.91,2957.42,-3.97313,4.25478,4.99226,6775.87,397.736,6774.17,0.000701113,51.6275
20.3333,Full (J2 + Drag + SRP + 3rd-body),2296.77,3858.35,5069.42,-7.20313,1.94409,1.77493,6772.08,393.94,6766.97,0.00115123,51.6034
20.5,Full (J2 + Drag + SRP + 3rd-body),-2209.9,4081.57,4926.84,-7.23735,-1.22974,-2.23285,6768.8,390.659,6767.55,0.000538855,51.6054
20.6667,Full (J2 + Drag + SRP + 3rd-body),-5734.05,2491.96,2590.02,-4.05179,-3.86471,-5.2549,6767.38,389.241,6775.04,0.00114115,51.6304
20.8333,Full (J2 + Drag + SRP + 3rd-body),-6703.28,-207.339,-903.204,0.947695,-4.78285,-5.93472,6767.04,388.9,6777.56,0.00155278,51.6389
21,Full (J2 + Drag + SRP + 3rd-body),-4683.49,-2814.37,-3992.81,5.52107,-3.56976,-3.96308,6767.45,389.309,6771.1,0.00059074,51.6173
21.1667,Full (J2 + Drag + SRP + 3rd-body),-579.12,-4169.71,-5301.53,7.62858,-0.774201,-0.231478,6769.65,391.51,6765.92,0.000908308,51.5999
21.3333,Full (J2 + Drag + SRP + 3rd-body),3782.82,-3674.57,-4250.88,6.34829,2.3607,3.59755,6773.64,395.501,6770.21,0.00103936,51.6143
21.5,Full (J2 + Drag + SRP + 3rd-body),6466.19,-1549.2,-1309.12,2.24892,4.4498,5.82773,6776.83,398.697,6777.15,0.000370374,51.6375
21.6667,Full (J2 + Drag + SRP + 3rd-body),6278.15,1264,2215.42,-2.85112,4.564,5.46405,6776.5,398.364,6775.79,0.000505738,51.633
21.8333,Full (J2 + Drag + SRP + 3rd-body),3302.92,3516.28,4754.01,-6.68143,2.65327,2.66987,6773.04,394.906,6768.28,0.00113067,51.6078
22,Full (J2 + Drag + SRP + 3rd-body),-1137.33,4209.09,5178.33,-7.54652,-0.433799,-1.31102,6769.42,391.28,6766.47,0.000753125,51.6017
22.1667,Full (J2 + Drag + SRP + 3rd-body),-5071.91,3033.42,3297.61,-5.05841,-3.33464,-4.71599,6767.58,389.442,6773.25,0.000864544,51.6245
22.3333,Full (J2 + Drag + SRP + 3rd-body),-6747.76,507.723,-54.6506,-0.308829,-4.7572,-6.02253,6767.06,388.923,6777.9,0.00159987,51.64
22.5,Full (J2 + Drag + SRP + 3rd-body),-5414.5,-2244.39,-3382.46,4.57853,-4.05971,-4.63767,6767.21,389.075,6773.01,0.000869113,51.6237
22.6667,Full (J2 + Drag + SRP + 3rd-body),-1669.91,-3997.74,-5200.71,7.41751,-1.55936,-1.18912,6768.89,390.756,6766.36,0.000714661,51.6014
22.8333,Full (J2 + Drag + SRP + 3rd-body),2816.87,-3976.24,-4703.51,6.95932,1.62782,2.78151,6772.61,394.474,6768.47,0.0011095,51.6085
23,Full (J2 + Drag + SRP + 3rd-body),6053.91,-2190.81,-2114,3.41212,4.09355,5.51543,6776.31,398.176,6775.97,0.00055781,51.6336
23.1667,Full (J2 + Drag + SRP + 3rd-body),6602.93,567.151,1416.49,-1.65307,4.74331,5.79537,6776.93,398.797,6777.02,0.000305249,51.6371
23.3333,Full (J2 + Drag + SRP + 3rd-body),4220.06,3073.45,4316.49,-5.98118,3.28773,3.49626,6774,395.865,6769.96,0.00104634,51.6135
23.5,Full (J2 + Drag + SRP + 3rd-body),-34.9605,4216.57,5296.63,-7.65323,0.375073,-0.356109,6770.15,392.015,6765.94,0.000947952,51.6
23.6667,Full (J2 + Drag + SRP + 3rd-body),-4273.88,3488.7,3920.05,-5.92775,-2.70882,-4.05591,6767.86,389.721,6771.33,0.000589376,51.6181
23.8333,Full (J2 + Drag + SRP + 3rd-body),-6610.55,1209.14,795.251,-1.55625,-4.59501,-5.95465,6767.12,388.981,6777.62,0.00155149,51.6391
24,Full (J2 + Drag + SRP + 3rd-body),-6051.78,-1542.08,-2605.96,3.39553,-4.46498,-5.24464,6767.06,388.925,6774.99,0.00117204,51.6303
