time_min,distance_m,rel_vel_ms,r_bar_m,v_bar_m,h_bar_m
91.00,67349.2,76.3073,-511.4,67088.2,-5901.3
91.17,67349.9,76.3136,-511.8,67095.2,-5829.5
91.33,67350.6,76.3199,-512.2,67102.2,-5757.0
91.50,67351.4,76.3261,-512.5,67109.2,-5683.7
91.67,67352.1,76.3322,-512.8,67116.1,-5609.7
91.83,67352.8,76.3383,-512.9,67123.1,-5535.0
92.00,67353.6,76.3443,-513.0,67130.0,-5459.6
92.17,67354.3,76.3503,-512.9,67136.9,-5383.5
92.33,67355.1,76.3561,-512.8,67143.8,-5306.6
92.50,67355.8,76.3619,-512.6,67150.6,-5229.1
