time_h,x_km,y_km,z_km,r_km,inc_deg,raan_deg
18.183203,1689.043861,958.748863,-6810.564754,7082.080260,98.189947,359.269755
18.438436,6689.430272,242.140688,-2281.538737,7071.953655,98.198866,359.258169
18.700487,5669.350876,-675.180982,4176.263623,7073.795768,98.196205,359.256184
18.930103,-220.482097,-1005.838455,7008.925656,7084.162774,98.189360,359.240407
19.190413,-6048.112197,-447.495711,3673.925775,7090.673040,98.197063,359.225306
19.455199,-6490.195654,493.477755,-2814.568268,7091.400035,98.198268,359.223692
19.690045,-1195.087766,1011.217662,-6911.327699,7086.412808,98.189660,359.210965
19.951688,4893.839781,661.001101,-5067.926669,7076.049109,98.194417,359.193783
20.216752,6998.062274,-240.722522,984.198003,7071.030239,98.199789,359.190429
20.471724,2928.694813,-959.264361,6373.033414,7079.053349,98.191186,359.182229
20.735297,-3563.444546,-822.184731,6072.058480,7088.301555,98.192015,359.163293
20.967128,-7077.994186,41.271915,436.520644,7091.562263,98.199938,359.156718
21.227031,-4298.952092,865.830738,-5570.928231,7089.844378,98.193278,359.152050
21.491284,1870.801058,945.431138,-6764.531854,7081.852006,98.190081,359.134303
21.745734,6745.903570,201.193039,-2112.640373,7071.841554,98.199028,359.123190
22.007656,5661.791492,-689.568534,4184.108514,7073.765031,98.196190,359.121248
22.234142,-207.799491,-1005.597868,7009.248276,7084.064448,98.189358,359.105528
22.494491,-6037.059222,-436.235661,3693.304753,7090.619550,98.197032,359.090400
22.759228,-6507.299130,503.084948,-2773.163949,7091.436718,98.198318,359.088788
22.991676,-1243.008695,1013.593575,-6902.665360,7086.552873,98.189687,359.076190
23.253307,4900.556023,648.693302,-5063.090276,7076.096062,98.194428,359.058846
23.518422,7013.379846,-240.726717,868.064580,7070.995852,98.199836,359.055510
23.773406,3033.328710,-960.787452,6323.380163,7078.794550,98.191322,359.047597
24.037170,-3235.492473,-844.923445,6249.451133,7087.873210,98.191543,359.029246
